run,embed_dim,lstm_units,val_accuracy,val_f1_weighted,test_accuracy,test_f1_weighted
embed64_lstm64,64,64,0.4583333333333333,0.36783625730994146,0.5416666666666666,0.44005847953216365
embed64_lstm128,64,128,0.375,0.3117647058823529,0.4583333333333333,0.36666666666666664
embed128_lstm64,128,64,0.3333333333333333,0.2272727272727273,0.5416666666666666,0.4096618357487923
embed128_lstm128,128,128,0.4166666666666667,0.376984126984127,0.7083333333333334,0.7085137085137085
