model,train_accuracy,train_f1_weighted,val_accuracy,val_f1_weighted,test_accuracy,test_f1_weighted
BiLSTM 1-Stage,,,0.4166666666666667,0.376984126984127,0.7083333333333334,0.7085137085137085
LLM 1-Stage,0.3269230769230769,,0.3333333333333333,0.2111111111111111,0.3333333333333333,0.16666666666666666
BiLSTM 2-Stage,0.5384615384615384,0.47208212141840455,0.2916666666666667,0.16091954022988506,0.3333333333333333,0.16666666666666666
LLM 2-Stage,0.3269230769230769,0.16109253065774803,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666
